#{"t_start": 1763803982.7517095, "env_id": "MountainCar-v0"}
r,l,t
-105.0,105,126.482499
-144.0,144,126.758127
-178.0,178,127.087286
-155.0,155,127.312546
-135.0,135,127.522612
-173.0,173,127.783966
-112.0,112,127.944894
-133.0,133,128.129188
-106.0,106,128.304443
-128.0,128,128.492525
-112.0,112,128.646973
-113.0,113,128.929104
-109.0,109,129.107345
-145.0,145,129.314909
-165.0,165,129.562764
-162.0,162,129.828212
-108.0,108,130.003529
-151.0,151,130.233757
-110.0,110,130.393474
-121.0,121,130.615108
-102.0,102,130.890515
-120.0,120,131.07396
-151.0,151,131.285309
-147.0,147,131.504971
-144.0,144,131.71858
-153.0,153,131.944039
-134.0,134,132.133209
-124.0,124,132.313764
-184.0,184,132.60845
-104.0,104,132.868729
-137.0,137,133.068763
-118.0,118,133.234605
-146.0,146,133.451559
-180.0,180,133.700809
-131.0,131,133.908889
-150.0,150,134.117946
-153.0,153,134.650801
-108.0,108,134.937505
-150.0,150,135.201269
-120.0,120,135.379104
-89.0,89,135.527567
-120.0,120,135.693854
-152.0,152,135.925474
-100.0,100,136.068167
-121.0,121,136.263662
-151.0,151,136.471829
-165.0,165,136.775429
-159.0,159,137.071314
-173.0,173,137.351486
-84.0,84,137.479186
-101.0,101,137.650292
-160.0,160,137.871905
-154.0,154,138.088767
-138.0,138,138.300611
-183.0,183,138.545435
-149.0,149,138.877909
-149.0,149,139.088493
-106.0,106,139.235242
-110.0,110,139.378908
-87.0,87,139.504438
-120.0,120,139.670137
-157.0,157,139.902266
-177.0,177,140.140408
-113.0,113,140.29878
-85.0,85,140.467675
-126.0,126,140.654602
-163.0,163,141.03826
-151.0,151,141.238152
-128.0,128,141.421488
-179.0,179,141.667064
-106.0,106,141.815869
-151.0,151,142.013883
-200.0,200,142.313684
-145.0,145,142.507532
-119.0,119,142.678629
-121.0,121,142.946781
-151.0,151,143.160296
-141.0,141,143.351622
-148.0,148,143.557468
-154.0,154,143.776917
-155.0,155,144.012885
-143.0,143,144.211259
-99.0,99,144.341414
-108.0,108,144.490876
-118.0,118,144.665498
-150.0,150,144.872453
-170.0,170,145.213631
-158.0,158,145.428159
-90.0,90,145.550932
-106.0,106,145.740216
-124.0,124,145.939276
-197.0,197,146.232598
-123.0,123,146.425339
-166.0,166,146.64639
-111.0,111,146.794384
-115.0,115,147.077745
-188.0,188,147.349862
-124.0,124,147.535167
-99.0,99,147.690035
-92.0,92,147.820198
-111.0,111,147.986945
-114.0,114,148.141346
-130.0,130,148.320505
-122.0,122,148.483709
-121.0,121,148.658598
-124.0,124,148.840284
-98.0,98,148.975275
-110.0,110,149.272583
-192.0,192,149.533003
-159.0,159,149.753215
