input; oracle; reward; episode_length; sensitivity; coverage; test_exec_time; coverage_time; run_time
[2,2,1,2,1,1,3,2,3,1,1,3,3,1,1]; True; -45.942825; 157; None; None; 0.06002163887023926; None; 1760964609.7435703
[2,2,1,1,1,1,2,2,3,1,3,3,3,1,1]; True; -43.84167; 179; 0.857792662158768; None; 0.06775021553039551; None; 1760964609.7445693
[3,2,3,1,3,2,1,3,2,3,3,2,1,2,2]; True; -84.43657; 117; None; None; 0.044115304946899414; None; 1760964609.8408062
[3,2,3,1,3,2,1,3,2,3,3,2,3,2,2]; True; -84.43657; 117; 0.0; None; 0.045117855072021484; None; 1760964609.8408062
[1,2,3,1,1,1,2,2,3,1,1,3,3,1,3]; True; -81.751564; 120; None; None; 0.04383993148803711; None; 1760964609.9352908
[1,2,3,1,1,1,2,2,3,1,3,3,3,1,3]; True; -86.340485; 120; 2.2944602966308594; None; 0.04354429244995117; None; 1760964609.936291
[1,2,2,1,2,3,3,1,3,2,1,2,1,3,3]; True; -83.397385; 121; None; None; 0.046330928802490234; None; 1760964610.0333474
[1,2,2,3,2,3,2,1,3,1,1,2,1,3,3]; True; -83.397385; 121; 0.0; None; 0.04423165321350098; None; 1760964610.0333474
[3,3,1,3,1,2,1,2,2,2,2,2,1,1,3]; True; -84.48038; 117; None; None; 0.0435643196105957; None; 1760964610.1426024
[2,3,1,3,1,2,1,2,2,2,2,2,1,1,3]; True; -37.456596; 164; 47.023780822753906; None; 0.05920886993408203; None; 1760964610.1426024
[3,1,1,1,1,1,3,2,2,1,2,2,1,2,2]; True; -78.955246; 117; None; None; 0.044121503829956055; None; 1760964610.2386432
[3,1,1,1,1,3,3,2,2,1,1,2,1,2,2]; True; -84.30586; 116; 2.3928684230167274; None; 0.04394221305847168; None; 1760964610.2386432
[1,2,1,2,3,2,2,2,1,3,3,3,2,3,3]; True; -83.397385; 121; None; None; 0.04585003852844238; None; 1760964610.3335161
[1,2,1,2,3,1,2,1,3,3,3,2,2,3,3]; True; -88.394775; 118; 1.888836160137619; None; 0.04265928268432617; None; 1760964610.3335161
[1,2,1,2,1,1,2,3,2,2,3,1,2,2,2]; True; -88.394775; 118; None; None; 0.04190802574157715; None; 1760964610.4268773
[3,2,1,2,1,1,2,3,2,2,3,1,2,2,2]; True; -81.0112; 118; 3.6917877197265625; None; 0.04445815086364746; None; 1760964610.4268773
[3,2,3,3,2,1,1,3,2,2,2,3,2,3,2]; True; -84.43657; 117; None; None; 0.04073476791381836; None; 1760964610.533745
[2,2,3,3,2,1,1,3,2,2,2,3,2,3,2]; True; -42.99109; 156; 41.44548034667969; None; 0.058088064193725586; None; 1760964610.5347483
[2,3,2,3,2,3,1,1,1,3,3,2,3,3,3]; True; -46.070812; 160; None; None; 0.05714154243469238; None; 1760964610.6609037
[2,3,2,3,2,3,1,1,3,3,3,2,3,3,3]; True; -31.451347; 178; 7.309732437133789; None; 0.06201767921447754; None; 1760964610.6609037
[2,1,3,2,2,2,3,2,1,1,1,1,2,1,1]; True; -60.1956; 190; None; None; 0.06781291961669922; None; 1760964610.7963078
[2,1,3,2,2,2,3,2,1,1,3,3,2,1,3]; True; -49.37836; 171; 3.1226675934486825; None; 0.05919694900512695; None; 1760964610.7963078
[1,1,1,3,2,3,2,3,1,3,2,3,2,1,1]; True; -82.24942; 118; None; None; 0.04342222213745117; None; 1760964610.887328
[3,1,1,3,2,3,2,3,1,3,2,3,2,1,1]; True; -72.5416; 113; 4.853908538818359; None; 0.04208111763000488; None; 1760964610.8883276
[2,1,1,1,3,2,1,1,2,1,3,1,1,3,3]; True; -47.534706; 146; None; None; 0.05404496192932129; None; 1760964610.9909804
[1,1,1,1,3,2,1,1,2,1,3,1,1,3,3]; True; -84.88028; 116; 37.34557342529297; None; 0.042517900466918945; None; 1760964610.9909804
[2,1,2,1,2,1,2,3,1,2,2,2,2,3,1]; True; -47.83342; 170; None; None; 0.05869865417480469; None; 1760964611.0991096
[1,1,2,1,2,1,2,3,1,2,2,2,2,3,1]; True; -83.37714; 118; 35.54371643066406; None; 0.040900468826293945; None; 1760964611.0991096
[1,2,2,3,3,1,1,1,3,2,3,2,2,1,2]; True; -85.69996; 129; None; None; 0.047348976135253906; None; 1760964611.1931171
[3,2,2,3,3,1,1,1,3,2,3,2,2,1,2]; True; -74.71133; 110; 5.494316101074219; None; 0.04063606262207031; None; 1760964611.1931171
[2,3,3,3,2,2,3,2,3,1,2,1,3,1,1]; True; -42.005386; 159; None; None; 0.057433366775512695; None; 1760964611.3018932
[2,2,3,3,2,2,3,2,3,1,2,1,2,1,1]; True; -81.24055; 128; 27.743448282166717; None; 0.04533982276916504; None; 1760964611.3018932
[1,1,2,2,2,1,3,3,3,1,1,2,1,1,1]; True; -91.19953; 121; None; None; 0.04278826713562012; None; 1760964611.3969626
[1,1,2,2,2,1,3,3,3,1,1,1,1,3,3]; True; -78.802376; 122; 4.13238525390625; None; 0.045726776123046875; None; 1760964611.3969626
[2,3,3,2,3,3,2,2,1,2,1,2,1,1,3]; True; -36.05035; 171; None; None; 0.061174869537353516; None; 1760964611.5309129
[2,2,3,2,3,3,2,2,1,2,1,2,1,3,2]; True; -48.299282; 180; 5.000605501963871; None; 0.06567144393920898; None; 1760964611.5319114
[2,2,1,1,2,3,1,2,3,1,1,2,1,2,2]; True; -45.108067; 161; None; None; 0.05364418029785156; None; 1760964611.6493137
[2,2,1,1,1,3,3,1,3,1,1,2,1,1,2]; True; -44.95063; 159; 0.05950535494065787; None; 0.05675911903381348; None; 1760964611.6503162
[1,2,3,3,3,3,1,2,1,3,3,3,3,3,2]; True; -87.1785; 129; None; None; 0.04335379600524902; None; 1760964611.7448947
[1,2,3,3,3,3,3,1,1,3,3,3,3,3,1]; True; -81.751564; 120; 2.2155362375218552; None; 0.04265284538269043; None; 1760964611.7448947
