Input; Oracle; Reward; EpisodeLength; Sensitivity; Coverage; Generation; TestExecTime; CoverageTime; RunTime; CrashTime
[-0.5854134, 0.       ]; False; -108.0; 108; None; None; 1; 0.0379641056060791; None; 1768443551.3353329; None
[-0.4789291, 0.       ]; False; -108.0; 108; 371.00426215165106; None; 1; 0.041875362396240234; None; 1768443551.3793504; None
[-0.53063494, 0.        ]; True; -200.0; 200; None; None; 3; 0.0769186019897461; None; 1768443551.422438; 245.01364493370056
[-0.50857466, 0.        ]; True; -200.0; 200; None; None; 1; 0.1248786449432373; None; 1768443551.501359; 245.09256601333618
[-0.5697775, 0.       ]; False; -142.0; 142; None; None; 1; 0.12329888343811035; None; 1768443551.627741; None
[-0.48665708, 0.        ]; False; -162.0; 162; None; None; 4; 0.12874364852905273; None; 1768443551.757179; None
[-0.5457689, 0.       ]; True; -200.0; 200; None; None; 1; 0.1525249481201172; None; 1768443551.8894327; 245.48063969612122
[-0.53250474, 0.        ]; True; -200.0; 200; None; None; 2; 0.15203499794006348; None; 1768443552.0472608; 245.6384677886963
[-0.48663962, 0.        ]; False; -162.0; 162; 582.6777757325489; None; 1; 0.12442231178283691; None; 1768443552.203833; None
[-0.5084196, 0.       ]; True; -200.0; 200; None; None; 1; 0.14057374000549316; None; 1768443552.3312554; 245.9224624633789
[-0.4992877, 0.       ]; True; -200.0; 200; None; None; 3; 0.13945817947387695; None; 1768443552.4757395; 246.06694650650024
[-0.5514596, 0.       ]; False; -194.0; 194; 2603.597364552137; None; 2; 0.13350582122802734; None; 1768443552.6171968; None
[-0.4959759, 0.       ]; False; -158.0; 158; None; None; 1; 0.12682890892028809; None; 1768443552.7507026; None
[-0.4065146, 0.       ]; False; -83.0; 83; None; None; 1; 0.06378436088562012; None; 1768443552.884613; None
[-0.46053445, 0.        ]; False; -94.0; 94; None; None; 2; 0.06848740577697754; None; 1768443552.9503956; None
[-0.52860916, 0.        ]; True; -200.0; 200; None; None; 2; 0.14940905570983887; None; 1768443553.0273347; 246.6185417175293
[-0.586258, 0.      ]; False; -108.0; 108; None; None; 1; 0.0822153091430664; None; 1768443553.1767437; None
[-0.40123257, 0.        ]; False; -83.0; 83; None; None; 2; 0.06590557098388672; None; 1768443553.2633526; None
[-0.55332017, 0.        ]; False; -195.0; 195; 3720.699126396396; None; 1; 0.13136911392211914; None; 1768443553.333931; None
[-0.5814089, 0.       ]; False; -111.0; 111; 773.5000461041955; None; 1; 0.0807335376739502; None; 1768443553.4693398; None
[-0.5409296, 0.       ]; True; -200.0; 200; None; None; 1; 0.12746500968933105; None; 1768443553.5500734; 247.14128041267395
[-0.5664789, 0.       ]; False; -145.0; 145; 1189.156607718751; None; 2; 0.09989762306213379; None; 1768443553.6879966; None
[-0.5575827, 0.       ]; False; -196.0; 196; 1127.1138796762866; None; 1; 0.12636947631835938; None; 1768443553.7925348; None
[-0.5646096, 0.       ]; False; -153.0; 153; 3175.758768858014; None; 1; 0.1096193790435791; None; 1768443553.923985; None
[-0.5361341, 0.       ]; True; -200.0; 200; None; None; 1; 0.14036059379577637; None; 1768443554.0369096; 247.62811660766602
[-0.5000222, 0.       ]; True; -200.0; 200; None; None; 1; 0.13531756401062012; None; 1768443554.182189; 247.77339601516724
[-0.56621444, 0.        ]; False; -146.0; 146; None; None; 1; 0.10353398323059082; None; 1768443554.3204944; None
[-0.5918136, 0.       ]; False; -107.0; 107; None; None; 1; 0.07362556457519531; None; 1768443554.431462; None
[-0.5056603, 0.       ]; True; -200.0; 200; None; None; 1; 0.12848711013793945; None; 1768443554.508149; 248.09935593605042
[-0.4533955, 0.       ]; False; -92.0; 92; None; None; 3; 0.0723428726196289; None; 1768443554.641692; None
[-0.49629766, 0.        ]; False; -158.0; 158; None; None; 3; 0.10179495811462402; None; 1768443554.7176015; None
[-0.5504176, 0.       ]; False; -194.0; 194; None; None; 2; 0.12894034385681152; None; 1768443554.8245673; None
[-0.52470607, 0.        ]; True; -200.0; 200; None; None; 3; 0.13731908798217773; None; 1768443554.9586487; 248.54985570907593
[-0.5648018, 0.       ]; False; -153.0; 153; 2282.510906534851; None; 2; 0.11501288414001465; None; 1768443555.104039; None
[-0.54977834, 0.        ]; False; -195.0; 195; 2351.0218219069525; None; 1; 0.128204345703125; None; 1768443555.225189; None
[-0.446238, 0.      ]; False; -90.0; 90; None; None; 2; 0.07927894592285156; None; 1768443555.3573942; None
[-0.5179643, 0.       ]; True; -200.0; 200; None; None; 1; 0.12665486335754395; None; 1768443555.44081; 249.03201699256897
[-0.52999324, 0.        ]; True; -200.0; 200; None; None; 1; 0.1393129825592041; None; 1768443555.57145; 249.1626570224762
[-0.5052368, 0.       ]; True; -200.0; 200; None; None; 1; 0.15752959251403809; None; 1768443555.7749097; 249.36611676216125
[-0.58013266, 0.        ]; False; -132.0; 132; None; None; 2; 0.10991573333740234; None; 1768443555.9371681; None
[-0.54220706, 0.        ]; True; -200.0; 200; None; None; 2; 0.14194226264953613; None; 1768443556.050573; 249.64178013801575
[-0.5964377, 0.       ]; False; -107.0; 107; None; None; 1; 0.0813605785369873; None; 1768443556.1974778; None
[-0.4858157, 0.       ]; False; -163.0; 163; 4829.889782954444; None; 1; 0.10255098342895508; None; 1768443556.2823951; None
[-0.4919982, 0.       ]; False; -158.0; 158; 3229.3490790165483; None; 1; 0.11120486259460449; None; 1768443556.39037; None
[-0.54371464, 0.        ]; True; -200.0; 200; None; None; 2; 0.1351771354675293; None; 1768443556.5048823; 250.09608936309814
[-0.59537804, 0.        ]; False; -107.0; 107; None; None; 1; 0.07664251327514648; None; 1768443556.644706; None
[-0.45646232, 0.        ]; False; -93.0; 93; None; None; 1; 0.0563654899597168; None; 1768443556.7247891; None
[-0.53684866, 0.        ]; True; -200.0; 200; None; None; 2; 0.13564252853393555; None; 1768443556.786298; 250.37750506401062
[-0.5101526, 0.       ]; True; -200.0; 200; None; None; 1; 0.13707637786865234; None; 1768443556.9273005; 250.51850748062134
[-0.5777214, 0.       ]; False; -135.0; 135; None; None; 2; 0.09240102767944336; None; 1768443557.067398; None
[-0.49136603, 0.        ]; False; -159.0; 159; 1372.1891833671432; None; 1; 0.09926342964172363; None; 1768443557.1629033; None
[-0.51637304, 0.        ]; True; -200.0; 200; None; None; 1; 0.1455991268157959; None; 1768443557.2672796; 250.85848665237427
[-0.59712255, 0.        ]; False; -107.0; 107; None; None; 1; 0.0800316333770752; None; 1768443557.4176536; None
[-0.56819946, 0.        ]; False; -143.0; 143; 874.0616463010325; None; 2; 0.08765721321105957; None; 1768443557.5011253; None
[-0.49356744, 0.        ]; False; -158.0; 158; None; None; 1; 0.10722589492797852; None; 1768443557.593839; None
[-0.5966073, 0.       ]; False; -107.0; 107; None; None; 2; 0.07894754409790039; None; 1768443557.7060814; None
[-0.54079425, 0.        ]; True; -200.0; 200; None; None; 3; 0.12544989585876465; None; 1768443557.789117; 251.38032412528992
[-0.4604551, 0.       ]; False; -94.0; 94; None; None; 1; 0.06874585151672363; None; 1768443557.9185994; None
[-0.5084882, 0.       ]; True; -200.0; 200; None; None; 2; 0.11693549156188965; None; 1768443557.9908912; 251.58209824562073
[-0.47967747, 0.        ]; False; -110.0; 110; None; None; 2; 0.07955121994018555; None; 1768443558.1122434; None
[-0.4788476, 0.       ]; False; -108.0; 108; None; None; 2; 0.06823253631591797; None; 1768443558.1956697; None
[-0.5343734, 0.       ]; True; -200.0; 200; None; None; 2; 0.1355583667755127; None; 1768443558.2682614; 251.859468460083
[-0.51289046, 0.        ]; True; -200.0; 200; None; None; 1; 0.13213372230529785; None; 1768443558.408843; 252.0000500679016
[-0.5003748, 0.       ]; True; -200.0; 200; None; None; 2; 0.15845990180969238; None; 1768443558.5450518; 252.1362588405609
[-0.55187017, 0.        ]; False; -194.0; 194; None; None; 2; 0.1304304599761963; None; 1768443558.7095118; None
[-0.46683118, 0.        ]; False; -97.0; 97; None; None; 1; 0.07187247276306152; None; 1768443558.8439612; None
[-0.59254026, 0.        ]; False; -107.0; 107; None; None; 1; 0.07030606269836426; None; 1768443558.918746; None
[-0.40917608, 0.        ]; False; -84.0; 84; None; None; 1; 0.06860971450805664; None; 1768443558.9936159; None
[-0.44751835, 0.        ]; False; -90.0; 90; None; None; 1; 0.05538773536682129; None; 1768443559.0663047; None
