#{"t_start": 1777564348.779322, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,42.340109
-200.0,200,42.583627
-200.0,200,42.878772
-200.0,200,43.17432
-200.0,200,43.486898
-200.0,200,43.773855
-200.0,200,44.098097
-200.0,200,44.398569
-200.0,200,44.720803
-200.0,200,45.021144
-200.0,200,45.348412
-200.0,200,45.653317
-188.0,188,45.949947
-196.0,196,46.245626
-200.0,200,46.556675
-200.0,200,46.814158
-200.0,200,47.098163
-119.0,119,47.240505
-148.0,148,47.444403
-200.0,200,47.688398
-200.0,200,47.961377
-131.0,131,48.16731
-200.0,200,48.479707
-200.0,200,48.801631
-174.0,174,49.072124
-200.0,200,49.351011
-200.0,200,49.625523
-200.0,200,49.908237
-200.0,200,50.235346
-193.0,193,50.534899
-200.0,200,50.849494
-200.0,200,51.162476
-200.0,200,51.476861
-134.0,134,51.693412
-89.0,89,51.802335
-200.0,200,52.091405
-200.0,200,52.345949
-112.0,112,52.490953
-200.0,200,52.757567
-200.0,200,53.044799
-156.0,156,53.296002
-200.0,200,53.589914
-200.0,200,53.904505
-200.0,200,54.642902
-200.0,200,54.971594
-200.0,200,55.273898
-176.0,176,55.542449
-200.0,200,55.85447
-200.0,200,56.152064
-146.0,146,56.36545
-200.0,200,56.684366
-200.0,200,56.950939
-183.0,183,57.211739
-188.0,188,57.471466
-148.0,148,57.683266
-200.0,200,57.96626
-200.0,200,58.282981
-200.0,200,58.566634
-113.0,113,58.731309
-200.0,200,59.02393
-200.0,200,59.321195
-200.0,200,59.636534
-200.0,200,59.922202
-200.0,200,60.238878
-200.0,200,60.536643
-193.0,193,60.842687
-200.0,200,61.132055
-200.0,200,61.445413
-200.0,200,61.744164
-200.0,200,62.071287
-170.0,170,62.306918
-182.0,182,62.572034
-156.0,156,62.802402
-175.0,175,63.066664
-152.0,152,63.287636
-145.0,145,63.507593
-194.0,194,63.815396
-199.0,199,64.114325
-152.0,152,64.357307
-149.0,149,64.588035
-200.0,200,64.91471
-134.0,134,65.114719
-200.0,200,65.427244
-200.0,200,65.736556
-152.0,152,65.985092
-178.0,178,66.263922
-118.0,118,66.445397
-200.0,200,66.770852
-113.0,113,66.953232
-155.0,155,67.156275
-200.0,200,67.44815
-200.0,200,67.756454
-146.0,146,67.993457
-200.0,200,68.307421
-111.0,111,68.482123
-165.0,165,68.723965
-200.0,200,69.050741
-200.0,200,69.32924
-165.0,165,70.04444
-183.0,183,70.341683
-166.0,166,70.603898
-200.0,200,70.923054
-178.0,178,71.194777
-200.0,200,71.498717
-200.0,200,71.823353
-168.0,168,72.063702
-130.0,130,72.255342
-187.0,187,72.496665
-162.0,162,72.709673
-200.0,200,72.981107
-161.0,161,73.215893
-199.0,199,73.492632
-169.0,169,73.750936
-200.0,200,74.04803
-200.0,200,74.35077
-200.0,200,74.634365
-200.0,200,74.908943
-172.0,172,75.133049
-89.0,89,75.241068
-199.0,199,75.543184
-200.0,200,75.850085
-160.0,160,76.085014
-142.0,142,76.282526
-200.0,200,76.587253
-147.0,147,76.806365
-200.0,200,77.095945
-200.0,200,77.379366
-179.0,179,77.618823
-200.0,200,77.8735
-200.0,200,78.138165
-200.0,200,78.401817
-200.0,200,78.719862
-173.0,173,78.996557
-200.0,200,79.290967
-149.0,149,79.518705
-200.0,200,79.823378
-200.0,200,80.147303
-200.0,200,80.413998
-200.0,200,80.709765
-200.0,200,80.971429
-200.0,200,81.245875
-127.0,127,81.429153
-175.0,175,81.693893
-125.0,125,81.89835
-130.0,130,82.071496
-168.0,168,82.312443
-200.0,200,82.570813
-200.0,200,82.859878
