#{"t_start": 1763792408.3045774, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,30.082668
-200.0,200,30.419917
-200.0,200,30.741003
-200.0,200,31.033943
-200.0,200,31.28639
-200.0,200,31.625907
-200.0,200,31.954381
-200.0,200,32.257924
-200.0,200,32.564349
-200.0,200,32.92212
-200.0,200,33.249377
-200.0,200,33.55126
-200.0,200,33.874777
-200.0,200,34.232666
-200.0,200,34.565847
-200.0,200,34.864162
-200.0,200,35.174598
-200.0,200,35.525837
-200.0,200,35.867425
-200.0,200,36.187678
-200.0,200,36.502202
-200.0,200,36.847734
-200.0,200,37.179693
-200.0,200,37.472656
-200.0,200,37.746088
-200.0,200,38.122903
-200.0,200,38.455825
-200.0,200,38.778817
-200.0,200,39.105131
-200.0,200,39.458802
-200.0,200,39.781879
-200.0,200,40.070976
-200.0,200,40.351684
-200.0,200,40.700648
-200.0,200,41.021979
-200.0,200,41.314136
-200.0,200,41.555279
-200.0,200,41.89306
-200.0,200,42.233387
-200.0,200,42.525123
-200.0,200,42.763585
-200.0,200,43.12448
-200.0,200,43.445791
-200.0,200,43.741176
-200.0,200,43.980935
-200.0,200,44.325699
-200.0,200,44.644825
-200.0,200,44.931346
-200.0,200,45.183992
-200.0,200,45.996557
-200.0,200,46.236478
-200.0,200,46.500512
-200.0,200,46.742714
-200.0,200,47.08652
-200.0,200,47.41521
-200.0,200,47.699929
-200.0,200,47.958946
-200.0,200,48.305812
-200.0,200,48.631906
-200.0,200,48.926601
-200.0,200,49.166514
-200.0,200,49.509391
-200.0,200,49.877047
-200.0,200,50.177803
-200.0,200,50.424378
-200.0,200,50.772728
-200.0,200,51.0969
-200.0,200,51.40771
-200.0,200,51.656078
-200.0,200,52.001738
-200.0,200,52.35271
-200.0,200,52.707246
-200.0,200,53.042035
-192.0,192,53.381389
-200.0,200,53.775109
-200.0,200,54.144263
-200.0,200,54.593692
-200.0,200,54.968303
-200.0,200,55.368512
-200.0,200,55.694986
-200.0,200,56.065712
-200.0,200,56.437367
-182.0,182,56.777009
-200.0,200,57.09457
-200.0,200,57.387344
-200.0,200,57.714556
-200.0,200,58.063775
-200.0,200,58.43958
